regio1,regio2,regio3,baseRent,totalRent,livingSpace,noRooms,floor,numberOfFloors,yearConstructed,condition,interiorQual,lift,balcony,hasKitchen,cellar,garden,typeOfFlat,serviceCharge,heatingType,newlyConst,picturecount,pricetrend,date,rent_per_sqm,neighborhood,district_part,bezirk,date_clean,district_name,avg_monthly_income_eur,median_monthly_income_eur,unemployment_rate_pct,population,transfer_income_share_pct,rent_burden_pct
Berlin,Berlin,Friedrichshain_Friedrichshain,1440.0,1690.0,68.0,2.0,4.0,5.0,1912.0,refurbished,,False,False,True,True,False,apartment,250.0,gas_heating,False,17,10.27,May19,21.176470588235293,Friedrichshain,Friedrichshain,Friedrichshain-Kreuzberg,2019-05,Friedrichshain-Kreuzberg,1900,1750,9.2,289000,16.8,75.78947368421053
Berlin,Berlin,Rudow_Neukölln,1009.0,1238.0,75.86,2.0,0.0,2.0,2019.0,first_time_use,sophisticated,False,True,True,True,True,ground_floor,190.0,central_heating,True,27,4.95,Feb20,13.300817295017136,Rudow,Neukölln,Neukölln,2020-02,Neukölln,1650,1500,14.1,329000,24.0,61.151515151515156
Berlin,Berlin,Charlottenburg_Charlottenburg,2430.0,3202.0,203.0,5.0,6.0,6.0,1973.0,fully_renovated,,True,True,False,True,False,roof_storey,772.0,central_heating,False,3,8.91,Sep18,11.970443349753694,Charlottenburg,Charlottenburg,Charlottenburg-Wilmersdorf,2018-09,Charlottenburg-Wilmersdorf,2400,2200,7.8,342000,11.2,101.25
Berlin,Berlin,Mitte_Mitte,2090.0,,95.0,3.0,5.0,6.0,2016.0,mint_condition,luxury,True,False,True,True,True,roof_storey,240.0,floor_heating,False,16,8.55,May19,22.0,Mitte,Mitte,Mitte,2019-05,Mitte,1850,1650,12.8,384000,22.5,112.97297297297297
Berlin,Berlin,Neukölln_Neukölln,1134.0,1357.09,81.0,3.0,2.0,5.0,1904.0,,normal,False,True,True,False,False,apartment,170.09,central_heating,False,15,11.54,Sep18,14.0,Neukölln,Neukölln,Neukölln,2018-09,Neukölln,1650,1500,14.1,329000,24.0,68.72727272727272
Berlin,Berlin,Friedrichsfelde_Lichtenberg,258.46,326.46,29.48,1.0,1.0,,1982.0,,,True,False,False,True,False,apartment,47.0,central_heating,False,5,7.16,Oct19,8.767299864314788,Friedrichsfelde,Lichtenberg,Lichtenberg,2019-10,Lichtenberg,1800,1650,9.5,296000,14.5,14.358888888888888
Berlin,Berlin,Marzahn_Marzahn,415.21,575.83,68.01,3.0,1.0,11.0,1985.0,,,True,True,False,False,False,apartment,98.09,,False,14,6.06,Oct19,6.105131598294368,Marzahn,Marzahn,Marzahn-Hellersdorf,2019-10,Marzahn-Hellersdorf,1750,1600,10.8,269000,17.0,23.726285714285712
Berlin,Berlin,Wedding_Wedding,695.0,812.0,30.05,1.0,4.0,,2018.0,mint_condition,,True,False,True,True,False,apartment,117.0,,True,5,11.01,May19,23.12811980033278,Wedding,Wedding,Mitte,2019-05,Mitte,1850,1650,12.8,384000,22.5,37.567567567567565
Berlin,Berlin,Wannsee_Zehlendorf,1200.0,1970.0,106.0,3.0,4.0,4.0,1900.0,fully_renovated,sophisticated,False,True,True,False,False,roof_storey,435.0,central_heating,False,14,6.25,Sep18,11.320754716981131,Wannsee,Zehlendorf,Steglitz-Zehlendorf,2018-09,Steglitz-Zehlendorf,2600,2400,5.2,310000,7.0,46.15384615384615
Berlin,Berlin,Neu_Hohenschönhausen_Hohenschönhausen,479.0,564.0,36.96,1.0,9.0,,1984.0,modernized,,True,True,False,True,False,apartment,85.0,district_heating,False,9,8.11,May19,12.95995670995671,Neu_Hohenschönhausen,Hohenschönhausen,Lichtenberg,2019-05,Lichtenberg,1800,1650,9.5,296000,14.5,26.611111111111114
Berlin,Berlin,Friedrichshain_Friedrichshain,1200.0,1350.0,63.0,2.0,1.0,6.0,2019.0,first_time_use,luxury,True,True,True,True,True,apartment,150.0,district_heating,True,28,7.54,Feb20,19.047619047619047,Friedrichshain,Friedrichshain,Friedrichshain-Kreuzberg,2020-02,Friedrichshain-Kreuzberg,1900,1750,9.2,289000,16.8,63.1578947368421
Berlin,Berlin,Schöneberg_Schöneberg,1935.0,2125.0,129.0,4.0,4.0,2.0,1900.0,fully_renovated,normal,False,True,False,True,False,apartment,190.0,self_contained_central_heating,False,18,9.62,Sep18,15.0,Schöneberg,Schöneberg,Tempelhof-Schöneberg,2018-09,Tempelhof-Schöneberg,2100,1950,8.3,351000,13.5,92.14285714285714
Berlin,Berlin,Spandau_Spandau,550.0,724.0,57.75,3.0,2.0,2.0,1880.0,refurbished,normal,False,False,True,False,False,,110.0,central_heating,False,8,8.6,May19,9.523809523809524,Spandau,Spandau,Spandau,2019-05,Spandau,1700,1550,11.5,245000,18.5,32.35294117647059
Berlin,Berlin,Tempelhof_Tempelhof,630.0,835.0,40.0,1.0,8.0,9.0,1965.0,fully_renovated,normal,True,True,True,True,False,apartment,205.0,central_heating,False,8,9.34,May19,15.75,Tempelhof,Tempelhof,Tempelhof-Schöneberg,2019-05,Tempelhof-Schöneberg,2100,1950,8.3,351000,13.5,30.0
Berlin,Berlin,Charlottenburg_Charlottenburg,1843.0,,111.69,4.0,0.0,4.0,2019.0,first_time_use,,True,True,True,True,False,ground_floor,220.0,,True,7,6.85,Oct19,16.50102963559853,Charlottenburg,Charlottenburg,Charlottenburg-Wilmersdorf,2019-10,Charlottenburg-Wilmersdorf,2400,2200,7.8,342000,11.2,76.79166666666667
Berlin,Berlin,Friedrichshain_Friedrichshain,1470.0,1712.0,91.0,3.0,0.0,6.0,2019.0,first_time_use,luxury,True,True,True,True,True,ground_floor,242.0,district_heating,True,24,10.25,May19,16.153846153846153,Friedrichshain,Friedrichshain,Friedrichshain-Kreuzberg,2019-05,Friedrichshain-Kreuzberg,1900,1750,9.2,289000,16.8,77.36842105263158
Berlin,Berlin,Tegel_Reinickendorf,949.0,1140.0,75.09,3.0,1.0,,1995.0,well_kept,,False,True,False,True,False,apartment,191.0,central_heating,False,9,5.22,Feb20,12.63816753229458,Tegel,Reinickendorf,Reinickendorf,2020-02,Reinickendorf,1800,1650,10.2,265000,16.0,52.72222222222223
Berlin,Berlin,Friedrichshain_Friedrichshain,1080.0,1330.0,38.0,2.0,4.0,6.0,2019.0,first_time_use,luxury,True,False,True,True,True,apartment,250.0,floor_heating,True,14,7.54,Feb20,28.42105263157895,Friedrichshain,Friedrichshain,Friedrichshain-Kreuzberg,2020-02,Friedrichshain-Kreuzberg,1900,1750,9.2,289000,16.8,56.84210526315789
Berlin,Berlin,Wilmersdorf_Wilmersdorf,595.0,790.0,24.0,1.0,,,2018.0,first_time_use,sophisticated,True,False,True,False,False,apartment,195.0,wood_pellet_heating,True,8,8.86,May19,24.791666666666668,Wilmersdorf,Wilmersdorf,Charlottenburg-Wilmersdorf,2019-05,Charlottenburg-Wilmersdorf,2400,2200,7.8,342000,11.2,24.791666666666668
Berlin,Berlin,Reinickendorf_Reinickendorf,925.0,1155.0,72.77,3.0,3.0,5.0,1959.0,first_time_use_after_refurbishment,sophisticated,True,True,False,True,False,apartment,175.0,central_heating,False,15,9.43,May19,12.71128212175347,Reinickendorf,Reinickendorf,Reinickendorf,2019-05,Reinickendorf,1800,1650,10.2,265000,16.0,51.388888888888886
Berlin,Berlin,Prenzlauer_Berg_Prenzlauer_Berg,2200.0,2340.0,112.0,3.0,5.0,5.0,2019.0,mint_condition,,True,True,True,False,False,apartment,140.0,self_contained_central_heating,True,7,9.44,May19,19.642857142857142,Prenzlauer_Berg,Prenzlauer_Berg,Pankow,2019-05,Pankow,2200,2050,6.5,413000,9.5,100.0
